Id,SalePrice
1,127224.449227482
2,158420.821220512
3,220964.433666525
4,115112.095086051
5,217249.369616274
6,211869.233600311
7,203634.200166709
8,209687.851761277
9,158696.982225721
10,130711.811629681
11,199286.147646068
12,145269.21737695
13,125795.757716742
14,149836.108205393
15,155461.733146384
16,180247.746788827
17,197481.35874804
18,106870.616077242
19,190876.091855632
20,166810.838115313
21,168245.325173731
22,193464.3109629
23,173381.473297259
24,137946.213326418
25,172772.255184391
26,137997.556259544
27,153711.179128127
28,198527.507111632
29,243772.098501464
30,195329.529893194
31,155117.06254542
32,191939.02254016
33,176779.376299398
34,190523.816022181
35,177150.857492531
36,150765.145418956
37,145625.040132335
38,217374.789326655
39,152882.157305353
40,168674.009032937
41,176689.075914007
42,233410.01282714
43,191687.606191942
44,256369.373524564
45,219911.661973023
46,219679.029700959
47,179679.235239608
48,181029.436741719
49,158961.519171874
50,160831.979116125
51,243021.94629666
52,151077.420057387
53,181247.975876737
54,176468.74734792
55,143386.310512646
56,201275.457992226
57,172500.746694958
58,164584.7433737
59,180013.029064695
60,160407.40330139
61,129006.555041148
62,149073.325443153
63,145117.819680003
64,194844.97327359
65,154147.168250346
66,170354.214703066
67,182951.244420069
68,181942.362683716
69,213712.507698901
70,181851.909816688
71,160531.456104961
72,131835.704455301
73,236225.962539549
74,135155.27761355
75,114004.57377436
76,137076.340507292
77,219714.532745943
78,214208.583667239
79,179288.668768477
80,129241.129226938
81,213439.721706071
82,165668.97896598
83,181245.027453439
84,141654.551723122
85,170721.849102409
86,131116.30385623
87,113429.350291263
88,164734.996087379
89,160096.910866599
90,178989.787463718
91,126774.145443354
92,180875.079854946
93,204836.405338179
94,157404.413655454
95,195625.545169938
96,185671.221045371
97,192700.582644397
98,248097.190129435
99,131003.504651928
100,130871.290417684
101,184042.112138845
102,110684.060111029
103,130908.097831678
104,154819.881752134
105,207780.020584194
106,226333.2979149
107,192457.211216626
108,230673.554621483
109,138943.804268245
110,199310.560060076
111,129925.069512487
112,139177.343130963
113,142526.24910127
114,212571.758329841
115,182959.289530078
116,115080.979529342
117,180144.954102012
118,163304.636775927
119,123659.555804514
120,153379.263276238
121,135616.850037555
122,194892.564222806
123,153156.587791712
124,180434.398986814
125,185699.149532079
126,220858.222355156
127,117065.126095248
128,132283.24323397
129,193095.650049239
130,163852.992807319
131,194081.873452219
132,219973.419074023
133,223472.159448325
134,142569.244308828
135,160500.923948484
136,159538.915931364
137,198270.362705282
138,221741.832539936
139,160793.623235132
140,151258.292144489
141,179421.795018959
142,217751.032158287
143,126545.324501565
144,187192.03385148
145,144956.328597306
146,144415.370274476
147,187864.230780433
148,154115.500094466
149,221917.642731336
150,156665.910686849
151,175566.688186659
152,193728.955407701
153,228196.952193871
154,197558.214491951
155,141302.671165331
156,171772.038168844
157,142765.000217656
158,186559.956087041
159,223083.251627479
160,146053.14679333
161,190232.756027972
162,173142.098920782
163,189725.577654777
164,165063.322099701
165,214344.971432923
166,140494.458661112
167,212950.612982265
168,130872.319207462
169,148937.588481974
170,142147.967207611
171,167781.131230215
172,202860.91766459
173,272797.78798509
174,132295.646120652
175,147203.754941083
176,183180.651559641
177,179828.981771377
178,230791.032982985
179,187149.590843463
180,187521.562197522
181,171612.802205966
182,161783.548135868
183,128291.991099081
184,151832.13409273
185,171563.24489498
186,160656.060923077
187,204066.686563479
188,209749.961372524
189,197737.735107506
190,195720.057317914
191,173762.393539986
192,164993.520252911
193,181420.787713836
194,153720.362136247
195,188497.422772113
196,141490.267975304
197,228969.698976217
198,278672.264592293
199,230294.175027261
200,157109.28135771
201,176482.39898355
202,145783.543757344
203,138610.277872815
204,157617.452279176
205,228665.028688102
206,197535.627047436
207,157736.598644882
208,228686.75282524
209,190894.444902745
210,231474.47309977
211,170864.105454571
212,202577.268600681
213,118685.59516123
214,186306.152685523
215,241854.310130271
216,240121.729918482
217,134213.875506742
218,168714.891335031
219,161186.55716254
220,219100.244504778
221,174711.010291782
222,150437.764050648
223,170470.434855311
224,155858.003201094
225,192664.280581415
226,209172.811354834
227,173279.642013639
228,172086.877723802
229,161709.839599392
230,172246.702113187
231,156187.561212159
